label,text,cid
Societal Effects - Apocalyptic,what is the likelihood that covid will kill the entire population,99
Societal Effects - Apocalyptic,is the world going to end because of covid,99
Societal Effects - Apocalyptic,is covid the end of humanity,99
Societal Effects - Apocalyptic,could covid kill all humans,99
Transmission - Food Contamination,can covid be transmitted through food,180
Transmission - Food Contamination,can covid spread through food,180
Transmission - Food Contamination,can covid live on food,180
Transmission - Food Contamination,can covid be transmitted through food,180
Transmission - Food Contamination,is it safe to order take out,180
Transmission - Food Contamination,is the u.s. food supply safe,180
Transmission - Food Contamination,are food products produced in the united states or other countries affected by covid a risk for the spread of covid,180
Transmission - Food Contamination,can i get covid from a food worker handling my food,180
Transmission - Food Contamination,can i get the covid from food food packaging or food containers and preparation area,180
Transmission - Food Contamination,will there be animal food shortages,180
Transmission - Food Contamination,can i get covid through food,180
Transmission - Food Contamination,can i get sick with covid if it is on food,180
Transmission - Food Contamination,can the virus that causes covid be spread through food,180
Transmission - Food Contamination,can food or clothes be contaminated with covid,180
Origin - Country,where covid originated,48
Origin - Country,where covid came from,48
Origin - Country,where covid really come from,48
Origin - Country,where covid come from,48
Origin - Country,where covid started,48
Origin - Country,what is the source of the virus,48
Origin - Country,where did covid originate,48
Origin - Country,where covid originate,48
Origin - Country,where covid start,48
Origin - Country,where did covid come from,48
Origin - Country,did covid really originate from the province of china or just get discovered there,48
Origin - Country,how did the covid virus appear,48
Origin - Country,is china really the origin of covid,48
Origin - Country,where was covid found,48
Origin - Manufactured in Laboratory,did covid come from a lab,51
Origin - Manufactured in Laboratory,was covid made in a lab,51
Origin - Manufactured in Laboratory,was covid man made,51
Origin - Manufactured in Laboratory,was covid created,51
Origin - Manufactured in Laboratory,was covid engineered,51
Origin - Manufactured in Laboratory,did covid start in a lab,51
Origin - Manufactured in Laboratory,was covid manufactured,51
Origin - Manufactured in Laboratory,did covid escape from a research lab,51
Origin - Manufactured in Laboratory,is covid man made,51
Origin - Manufactured in Laboratory,was covid created in a lab,51
Origin - Manufactured in Laboratory,did the covid develop in a laboratory,51
Origin - Manufactured in Laboratory,is covid a man made virus,51
Origin - Manufactured in Laboratory,how was covid created,51
Origin - Planned Release Conspiracy,was covid planned,54
Origin - Planned Release Conspiracy,is covid a bioweapon,54
Origin - Planned Release Conspiracy,was covid weaponized,54
Origin - Planned Release Conspiracy,was covid released on purpose,54
Origin - Planned Release Conspiracy,was covid a bio weapon,54
Origin - Planned Release Conspiracy,is covid bioterrorism,54
Origin - Planned Release Conspiracy,do you think covid was injected purposely,54
Origin - Planned Release Conspiracy,for the sake of discussion what do you think the chances are of covid being a biologically engineered weapon,54
Origin - Planned Release Conspiracy,was covid meant to happen,54
Origin - Planned Release Conspiracy,how likely is it that the covid virus was created by the chinese as a biological weapon,54
Origin - Planned Release Conspiracy,is covid bio engineered,54
Origin - Planned Release Conspiracy,is the conspiracy theory of china spreading covid legitimate,54
Origin - Planned Release Conspiracy,is covid weaponized,54
Transmission - Possibility of Reinfection,can people who recover from covid be infected again,185
Transmission - Possibility of Reinfection,after recovering from covid does a person have long term immunity to the virus,185
Transmission - Possibility of Reinfection,if i have recovered from covid will i be immune to it,185
Transmission - Possibility of Reinfection,can covid reinfect,185
Transmission - Possibility of Reinfection,are covid survivors immune,185
Transmission - Possibility of Reinfection,has anyone that recovered from covid been reinfected,185
Transmission - Possibility of Reinfection,has anyone gotten covid twice (re infected),185
Transmission - Possibility of Reinfection,can one be immune to covid,185
Transmission - Possibility of Reinfection,do people who recovered from covid infection develop resistance against subsequent infections,185
Transmission - Possibility of Reinfection,can you get covid twice or does it cause immunity,185
Transmission - Possibility of Reinfection,is it true that even if you already had the covid you can get it again,185
Transmission - Possibility of Reinfection,can you catch a covid more than once,185
Transmission - Possibility of Reinfection,have the people who were sickened with covid developed immunity,185
Transmission - General,how covid spreads,181
Transmission - General,how covid is transmitted,181
Transmission - General,how does covid spread,181
Transmission - General,how does this covid spread,181
Transmission - General,how does the virus spread,181
Transmission - General,how can the covid spread,181
Transmission - General,how is covid spread,181
Transmission - General,how does covid get spread,181
Transmission - General,how is covid transmitted,181
Transmission - General,what are ways in which covid is transmitted,181
Transmission - General,how covid spreads,181
Transmission - General,how is the novel covid spread,181
Nomenclature - Pandemic Definition,is covid a pandemic,44
Nomenclature - Pandemic Definition,what does it mean that covid is a global pandemic,44
Nomenclature - Pandemic Definition,who covid pandemic,44
Nomenclature - Pandemic Definition,shouldnt covid be declared as a pandemic,44
Nomenclature - Pandemic Definition,is covid a pandemic,44
Nomenclature - Pandemic Definition,what will be the breaking point that will declare covid a pandemic,44
Nomenclature - Pandemic Definition,why is covid called a pandemic and not an epidemic,44
Nomenclature - Pandemic Definition,what is a pandemic,44
Nomenclature - Pandemic Definition,when would covid be considered a pandemic,44
Nomenclature - Pandemic Definition,is there a reason that covid is called a pandemic now,44
Nomenclature - Pandemic Definition,is there a difference between covid being an epidemic and a pandemic,44
Nomenclature - Pandemic Definition,why is covid a pandemic,44
Prevention - Use of Facemask,should i get a face mask,79
Prevention - Use of Facemask,should i wear a facemask,79
Prevention - Use of Facemask,until when should i wear a mask after recovering from an illness with respiratory symptoms,79
Prevention - Use of Facemask,should i use a mask,79
Prevention - Use of Facemask,should i wear a face covering or face mask when i go out in public,79
Prevention - Use of Facemask,should i purchase personal protective equipment for me and my family,79
Prevention - Use of Facemask,should i wear a face mask in public,79
Prevention - Use of Facemask,should children wear masks,79
Prevention - Use of Facemask,does cdc recommend the use of facemask or face coverings to prevent covid,79
Prevention - Use of Facemask,should i wear a mask to protect myself,79
Prevention - Use of Facemask,can wearing a face mask prevent covid,79
Prevention - Use of Facemask,do masks help prevent the spread of covid,79
Prevention - General,what can i do to protect myself and prevent the spread of disease,68
Prevention - General,how can i prevent covid,68
Prevention - General,whats the best way to prevent covid,68
Prevention - General,how can i make sure to not get affected with the novel covid virus,68
Prevention - General,how do i keep safe from covid,68
Prevention - General,how do i stop covid,68
Prevention - General,how can we take precaution to stop covid,68
Prevention - General,how do we protect ourselves,68
Prevention - General,how are you avoiding gaining the covid,68
Prevention - General,what advice should we follow against covid,68
Prevention - General,is there a way to not get covid,68
Prevention - General,how is covid prevented,68
Prevention - Alternative Disinfection,what alternatives do i have if there are no hand sanitizers available,64
Prevention - Alternative Disinfection,should i use soap and water or a hand sanitizer to protect against covid,64
Prevention - Alternative Disinfection,how effective are alternative disinfection methods,64
Prevention - Alternative Disinfection,what cleaning products should i use to protect against covid,64
Prevention - Alternative Disinfection,does alcohol kill covid,64
Prevention - Alternative Disinfection,can i kill covid without hand sanitizer,64
Prevention - Alternative Disinfection,is it possible to disinfect surfaces with alternative disinfection methods,64
Prevention - Alternative Disinfection,is there a way to kill covid without hand sanitizer,64
Prevention - Alternative Disinfection,how do i disinfect if i dont have hand sanitizer,64
Prevention - Alternative Disinfection,other than hand sanitizer how can i protect myself from covid,64
Prevention - Alternative Disinfection,will alternative disinfection work against covid,64
Prevention - Alternative Disinfection,are there ways other than hand sanitizer and soap to kill covid,64
Treatment - Chloroquine,are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid,198
Treatment - Chloroquine,may health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off label to treat patients with covid,198
Treatment - Chloroquine,are chloroquine phosphate or hydroxychloroquine sulfate approved by the fda to treat covid,198
Treatment - Chloroquine,what is the effect of chloroquine(cq) and hydroxychloroquine(hcq) on endosomal maturation and endocytosis in covid treatment,198
Treatment - Chloroquine,in vitro comparison of antiviral activity of chloroquine(cq) and hydroxychloroquine(hcq) against covid,198
Treatment - Chloroquine,evidence of hydroxychloroquine(hcq) being anti inflammatory in covid critically ill patients with elevated plasma cytokines,198
Treatment - Chloroquine,who do you believe about using hydroxychloroquine to treat covid,198
Treatment - Chloroquine,has chloroquine been found to be effective against covid,198
Treatment - Chloroquine,what is hydroxylchloroquine and is it effective in the treatment of covid,198
Treatment - Chloroquine,what is trumps motivation for promoting hydroxychloroquine as a covid treatment,198
Treatment - Chloroquine,are hydroxychloroquine and azithromycin the best treatment protocol for covid,198
Treatment - Chloroquine,do chloroquine and azithromycin really work to handle severe cases of covid,198
Other - Mutation,has covid mutated,61
Other - Mutation,does covid mutate,61
Other - Mutation,is covid mutating,61
Other - Mutation,did covid mutate,61
Other - Mutation,will covid mutate,61
Other - Mutation,can covid mutate,61
Other - Mutation,will covid mutate,61
Other - Mutation,had covid mutated,61
Other - Mutation,how likely is the covid virus to mutate and when,61
Other - Mutation,is covid currently mutating,61
Other - Mutation,what is the rate of mutation in the covid,61
Origin - Source Animal,did covid come from bats,55
Origin - Source Animal,did covid start with bats,55
Origin - Source Animal,did covid come from snakes,55
Origin - Source Animal,did covid come from a bat,55
Origin - Source Animal,did covid come from animals,55
Origin - Source Animal,did covid start with bats,55
Origin - Source Animal,did covid come from eating bats,55
Origin - Source Animal,in what species did the covid virus likely originate,55
Origin - Source Animal,did covid come from pangolin,55
Origin - Source Animal,did covid start with a bat,55
Origin - Source Animal,what is the true origin of the covid virus and is the wuhan bat snacking hypothesis credible,55
Testing - Methodology,how covid test is done,165
Testing - Methodology,how covid test is done,165
Testing - Methodology,how covid is tested,165
Testing - Methodology,how is covid diagnosed,165
Testing - Methodology,what kind of test is being used to diagnose if i have covid,165
Testing - Methodology,what kind of test can diagnose covid,165
Testing - Methodology,what type of test was initially developed to screen for covid,165
Testing - Methodology,in addition to oral swabs which tests detected the presence of covid virus,165
Testing - Methodology,how do testing kits for covid detect the virus,165
Testing - Methodology,are blood tests useful to diagnose covid,165
Testing - Methodology,how is covid tested,165
Comparison - Worse than Flu,why covid is worse than the flu,9
Comparison - Worse than Flu,is covid worse than the flu,9
Comparison - Worse than Flu,is covid worse than flu,9
Comparison - Worse than Flu,why covid is worse than flu,9
Comparison - Worse than Flu,why covid is worse than flu,9
Comparison - Worse than Flu,is covid more contagious than the flu,9
Comparison - Worse than Flu,why worry about covid when the flu kills so many people,9
Comparison - Worse than Flu,is covid worse than spanish flu,9
Comparison - Worse than Flu,is covid worse then swine flu,9
Comparison - Worse than Flu,will the covid be as bad as the 1918 spanish flu pandemic that infected 500000000 people,9
Comparison - Worse than Flu,how is the covid virus more dangerous than the regular flu,9
Prevention - Time Until Vaccine,when covid vaccine,78
Prevention - Time Until Vaccine,is there a vaccine,78
Prevention - Time Until Vaccine,are there any vaccines or other medical products to prevent covid,78
Prevention - Time Until Vaccine,is there a vaccine drug or treatment for covid,78
Prevention - Time Until Vaccine,has the covid vaccine been found,78
Prevention - Time Until Vaccine,how soon will a vaccine for covid be ready,78
Prevention - Time Until Vaccine,what is the current status of the covid vaccine,78
Prevention - Time Until Vaccine,how long will it take for scientists to develop a vaccine to covid,78
Prevention - Time Until Vaccine,is there a vaccine for the covid,78
Prevention - Time Until Vaccine,are we still waiting for a vaccine for covid,78
Prevention - Time Until Vaccine,has someone made a vaccine for covid yet,78
Reporting - Deaths,who covid mortality rate,86
Reporting - Deaths,world covid death toll,86
Reporting - Deaths,who covid deaths,86
Reporting - Deaths,compared to past pandemics how deadly is covid,86
Reporting - Deaths,what is the number of victims worldwide due to covid,86
Reporting - Deaths,what approximately is the actual mortality rate for covid,86
Reporting - Deaths,can someone contract covid and not die,86
Reporting - Deaths,what is the covid fatality rate,86
Reporting - Deaths,is it true that covid has a less than 1% fatality rate,86
Reporting - Deaths,what is the current number of deaths due to covid,86
Reporting - Deaths,am i guaranteed to die if i have covid,86
Transmission - Shopping Safety,is grocery shopping safe during the covid pandemic,189
Transmission - Shopping Safety,can i go to the supermarket,189
Transmission - Shopping Safety,what are the most important things i need to know to keep myself and others safe when i go to the grocery store during the pandemic,189
Transmission - Shopping Safety,is it safe to do grocery shopping in costco amidst covid,189
Transmission - Shopping Safety,what is the best way to handle groceries during covid,189
Transmission - Shopping Safety,because of the covid pandemic do you wash your groceries,189
Transmission - Shopping Safety,how do you wash vegetables and fruits these days of the covid epidemic,189
Transmission - Shopping Safety,how do i prevent getting infected with covid from delivered packages and groceries,189
Transmission - Shopping Safety,is it safe to go shopping,189
Transmission - Shopping Safety,is it okay to go buy groceries,189
Transmission - Shopping Safety,will i get covid if i go to the store,189
Economic Effects - General,how destructive has covid been for the world economy,11
Economic Effects - General,how could the covid outbreak trigger a major economic recession in the us,11
Economic Effects - General,is the global economy headed for recession in 2020 because of covid,11
Economic Effects - General,what is the impact of covid on the global economy,11
Economic Effects - General,what damage to the economy will covid cause,11
Economic Effects - General,is covid an economic pandemic,11
Economic Effects - General,will covid cause a global economic collapse that is worse than the great recession of 2008,11
Economic Effects - General,is a recession due to the covid inevitable,11
Economic Effects - General,will covid trigger a global recession,11
Economic Effects - General,how badly has the world economy shuddered so far because of the covid outbreak,11
Economic Effects - General,how will global trade change due to covid,11
Testing - Accuracy,are covid tests accurate,160
Testing - Accuracy,which covid test is more accurate,160
Testing - Accuracy,do covid antibody tests work,160
Testing - Accuracy,which covid test is best,160
Testing - Accuracy,are covid antibody tests accurate,160
Testing - Accuracy,which covid antibody tests are accurate,160
Testing - Accuracy,which covid test is most accurate,160
Testing - Accuracy,are covid tests reliable,160
Testing - Accuracy,are covid test accurate,160
Testing - Accuracy,is it true that when they test for covid that they cannot specifically determine if it is covid or not,160
Speculation - Second Wave,will covid come back,151
Speculation - Second Wave,will covid return next year,151
Speculation - Second Wave,will covid be a problem next year,151
Speculation - Second Wave,how come covid is going to come back after it goes away for a time,151
Speculation - Second Wave,if president trump opens the economy will we see a second wave of covid,151
Speculation - Second Wave,is there a risk of a second wave of covid like the second wave of the spanish flu which killed more people compared to the first wave,151
Speculation - Second Wave,will there be a second wave of the covid infection,151
Speculation - Second Wave,what are the chances that covid will hit again,151
Speculation - Second Wave,is it possible for covid to come again,151
Speculation - Second Wave,can covid return after lockdown is lifted,151
Societal Response - Fear,is covid that bad,126
Societal Response - Fear,should i worry about covid,126
Societal Response - Fear,how scared are you about covid,126
Societal Response - Fear,is the fear around the covid overblown justified or too early to say,126
Societal Response - Fear,are you panicking over the covid,126
Societal Response - Fear,are you afraid of the covid virus,126
Societal Response - Fear,since covid came out has it scared you,126
Societal Response - Fear,do you think the covid outbreak is really serious,126
Societal Response - Fear,how concerned are you about the covid that causes covid,126
Societal Response - Fear,are you worried about covid,126
Treatment - Existence of Treatments,what are the treatments for covid,201
Treatment - Existence of Treatments,what treatments are available for covid,201
Treatment - Existence of Treatments,are there any fda approved drug products or medicines to treat covid,201
Treatment - Existence of Treatments,which are the medicines currently being used to treat covid,201
Treatment - Existence of Treatments,how should you treat the covid at home,201
Treatment - Existence of Treatments,how can covid patients be treated,201
Treatment - Existence of Treatments,is covid curable,201
Treatment - Existence of Treatments,is there a treatment for covid yet,201
Treatment - Existence of Treatments,has a treatment been released to treat covid,201
Treatment - Existence of Treatments,is there a way to get rid of covid after being infected,201
Symptoms - General,who covid symptoms,157
Symptoms - General,what covid symptoms,157
Symptoms - General,what covid feels like,157
Symptoms - General,what are the symptoms of covid,157
Symptoms - General,what are the symptoms and complications that covid can cause,157
Symptoms - General,what are the most common symptoms of covid,157
Symptoms - General,what symptoms might people experience with covid,157
Symptoms - General,what are the symptoms of covid,157
Symptoms - General,does covid have any neurological symptoms,157
Origin - General,how covid started,49
Origin - General,why covid happened,49
Origin - General,how covid starts,49
Origin - General,what is the main cause of covid,49
Origin - General,if covid wasnt engineered how did it develop,49
Origin - General,how did covid come to be,49
Origin - General,how did covid begin,49
Origin - General,how covid began,49
Origin - General,how did covid get started,49
Having COVID - Effects on Body,what covid does to the body,23
Having COVID - Effects on Body,how covid works,23
Having COVID - Effects on Body,how covid attacks the body,23
Having COVID - Effects on Body,what covid does to your body,23
Having COVID - Effects on Body,what covid does,23
Having COVID - Effects on Body,what covid do,23
Having COVID - Effects on Body,how covid affects the body,23
Having COVID - Effects on Body,what happens when i get covid,23
Having COVID - Effects on Body,how does the covid virus cause death in the infected patient,23
Transmission - Ability to Infect Animals,what animal species can get covid,169
Transmission - Ability to Infect Animals,what animals can get covid,169
Transmission - Ability to Infect Animals,what animals can carry covid,169
Transmission - Ability to Infect Animals,does covid kill animals,169
Transmission - Ability to Infect Animals,which animals are immune covid,169
Transmission - Ability to Infect Animals,which animal gave covid,169
Transmission - Ability to Infect Animals,what types of animals are susceptible to covid,169
Transmission - Ability to Infect Animals,how deadly is covid to pets,169
Transmission - Ability to Infect Animals,can household pets become infected with covid and then transmit it to other pets and human beings,169
Individual Response - Dealing with Stress,how can my family cope with the added stress,35
Individual Response - Dealing with Stress,how can i ease my anxiety during pandemics,35
Individual Response - Dealing with Stress,what are your tips for staying productive while staying home during the covid pandemic,35
Individual Response - Dealing with Stress,how are you coping during the covid crisis,35
Individual Response - Dealing with Stress,what are some useful tips for working at home due to the covid,35
Individual Response - Dealing with Stress,how do i stay positive with covid,35
Individual Response - Dealing with Stress,how can i be happy sane and productive amid the covid lockdown,35
Individual Response - Dealing with Stress,how do we cope with stress during covid,35
Individual Response - Dealing with Stress,what is the best way to deal with stress during lockdown,35
Prevention - Facemask Material,what kind of masks are recommended to protect healthcare workers from covid exposure,67
Prevention - Facemask Material,which covid mask works,67
Prevention - Facemask Material,do covid masks have to be a specific material,67
Prevention - Facemask Material,what type of face mask is recommended to prevent catching covid,67
Prevention - Facemask Material,are kn 95 masks effective for covid,67
Prevention - Facemask Material,what materials are you using to make homemade face masks for covid,67
Prevention - Facemask Material,which face mask protects me from covid,67
Prevention - Facemask Material,what type of facemask should i use,67
Prevention - Facemask Material,is there a specific mask i should use to prevent covid,67
Comparison - Reason for Danger,why covid so dangerous,7
Comparison - Reason for Danger,why covid dangerous,7
Comparison - Reason for Danger,why covid is dangerous,7
Comparison - Reason for Danger,why is covid much stronger than previous corona viruses,7
Comparison - Reason for Danger,why of all the history of the plagues is covid more complex and deadlier,7
